Name,Pos,Org,Top 100,Org Rk,Age,Hit,Pitch Sel,Bat Ctrl,Game,Raw,Spd,Fld,Avg EV,Hard Hit%,Max EV,FV,playerId
"Victor Mesa Jr.","CF","MIA",,22,"19.7416666","25 / 55",50,55,"25 / 40","45 / 50","50 / 50","45 / 55",85,,101,"40+","sa3010700"
"Ian Lewis","2B","MIA",,23,"18.3361111","20 / 45",,,"20 / 40","30 / 45","70 / 70","40 / 55",,,,"40+","sa3014691"
"Bryce Ball","1B","ATL",,11,"22.9083333","30 / 45",50,45,"35 / 60","70 / 70","40 / 40","45 / 50",92,0.44,107,"40+","sa1170451"
"Braden Shewmake","SS","ATL",,12,"23.5444444","35 / 55",45,60,"30 / 40","45 / 50","55 / 55","50 / 55",88,0.38,103,"40+","sa3010332"
"Rikelin De Castro","SS","TOR",,11,"18.3666666","20 / 50",,,"20 / 35","30 / 45","60 / 55","45 / 60",,,,"40+","sa3014714"
"Adael Amador","SS","COL",,8,"18.15","20 / 45",45,40,"20 / 40","40 / 50","60 / 60","45 / 55",,,,"40+","sa3014682"
"Aaron Schunk","3B","COL",,10,"23.8638888","30 / 50",45,45,"30 / 45","55 / 55","45 / 45","50 / 55",88,,106,"40+","sa3009957"
"Julio Carreras","SS","COL",,14,"21.3972222","30 / 45",45,40,"30 / 50","40 / 50","60 / 55","45 / 55",84,,101,"40+","sa3005598"
"Coby Mayo","RF","BAL",,13,"19.4861111","25 / 55",45,55,"20 / 50","55 / 60","50 / 40","40 / 45",85,,102,"40+","sa3014479"
"Jahmai Jones","2B","BAL",,14,"23.8361111","40 / 50",45,50,"40 / 45","50 / 50","60 / 60","40 / 45",88,0.39,109,"40+","18872"
